,,Author,Date,Rating,"Helpful count",Review,"Picture included",Language,"Language code","Reviewer Data","Profile Url","Review Url",Photos
1,,"John Gerlak","2022-01-18 15:34:39",3,2,"Was working great, suddenly I started getting a ""One Drop keeps stopping"" message on my Galaxy S 22+ tried updating the app, re-installing, and updating my OS, nothing helps.",no,en_US,,,,,
2,,"Jason Miller","2022-01-26 01:36:01",2,1,"I like the app and the features but it seems to stop working at times and doesn't sink with tester always or send notifications",no,en_US,,,,,
3,,"Badrul V","2022-02-03 06:32:15",5,0,"It is great app they fixed it",no,en_US,,,,,
4,,"Randy O'Neal","2022-02-04 01:11:35",3,1,"Seemed to work OK until this morning, now it won't fully load and I am getting the app crash error message. Now that's ALL I get. I can't use it at all.",no,en_US,,,,,
5,,"Alexis Lamar","2022-02-04 22:09:40",1,10,"App works for 2 days and then stops working. Keeps giving an error message that it has stopped working and it will not open. I have had to Uninstall and reinstall the app 3 times now just to have it crash 2 days later.",no,en_US,,,,,
6,,"John Bartley","2022-02-05 18:09:42",5,0,"Easy to use. The Info I get from One Drop allows me to control my Diabetes!",no,en_US,,,,,
7,,"Amanda David","2022-02-14 14:53:57",1,1,"Had to uninstall because it kept throwing errors, not it won't let me sign in after reinstalling. It keeps acting like I'm trying to register. Guess I'm going with a different app.",no,en_US,,,,,
8,,"jennifer latham","2022-02-16 04:40:48",2,9,"Like i see other people saying, app was great until the last few days. Now it won't open at all, keeps sending pop-ups saying the app has stopped working. Tried to use the send feedback button and that crashed too.",no,en_US,,,,,
9,,"Sara Creed","2022-02-22 15:34:06",5,0,"This is a great app & helps me manage my blood sugar.",no,en_US,,,,,
10,,"Blue Eagle Logistics LLC","2022-02-23 15:52:58",1,0,"Frozen can't open app about to lose all data",no,en_US,,,,,
11,,"LaShumbra Bates","2022-03-03 01:00:45",1,3,"A few weeks ago, the app just stopped working. I constantly get error messages when it tries to open. Can't use at all.",no,en_US,,,,,
12,,"Ed Isaacs","2022-03-13 18:01:27",5,0,"Easy to maintain, easy to use.",no,en_US,,,,,
13,,"Edarling Yvonne Fields","2022-03-25 01:00:38",5,0,"Pretty new to the meter and app. Like it so far.",no,en_US,,,,,
14,,"Judith Harford - Brown","2022-03-27 10:34:31",5,0,"Very helpful to keep you on track with monitoring your diabetes",no,en_US,,,,,
15,,"Stephanie Metzler","2022-03-31 03:17:49",4,0,"Love the app.",no,en_US,,,,,
16,,"Eliza Bradley","2022-04-13 02:29:36",3,6,"Good app. Interface for food could be a little better but database of foods is pretty good. Update, 9/19/21. App will not open. Very frustrating. 4/12/22 is this app working for people yet? I miss it. It was great when it worked.",no,en_US,,,,,
17,,"Greg Gorman","2022-04-18 23:34:03",4,0,"A few bugs in the beginning but I am getting used to it pretty fast",no,en_US,,,,,
18,,"Zeljko Dzodan","2022-04-24 08:26:05",5,0,"Excellent app!",no,en_US,,,,,
19,,"Peggy Hamburg","2022-04-27 16:19:11",4,13,"I would gladly give this app five stars except for a small glitch in the program. About once every 4-6 weeks the program will stop and not reopen. It's easy to fix by deleting the app and then reinstalling (it restores all previous data), but still a problem to be corrected.",no,en_US,,,,,
20,,"TheNetranger A.K.A Netty","2022-04-29 03:07:27",1,0,"App will not open I have to uninstall the app and reinstall it for the app to work I hope they can fix it",no,en_US,,,,,
21,,"Dorlee Johnson","2022-04-29 21:54:26",4,4,"Great when it works. Every 4 or 5 days the meter and the app stop talking to each other and I have to remove the One Drop meter from my phone and reconnect it. Today when I tired to reconnect the app just keeps closing right at the pairing part.",no,en_US,,,,,
22,,"Terri Wagner","2022-05-05 16:14:10",2,0,"It worked great until it just stopped working. I contacted them to inform them of the issue. They replied asking me for more info and I sent the requested info. I haven't heard from them since. I feel like I wasted my money. Also, they keep trying to push you to order premium but I don't feel it's worth the monthly payment.",no,en_US,,,,,
23,,"Tyler Stockton","2022-05-13 21:49:32",1,1,"Looks likei have to find a new app to track my diabetes. Hate to say that since i have used this one for months. I guess when you changed the app it killed my access to it with signing into facebook. So i had to create a new account theough my google. I hate that i lost all that data on my past diabetes recordings. But the next problem. The app once again does not work. Worked for about a week. And now in order to use it i have to uninstall and reinstall because it keeps saying its stopped work",no,en_US,,,,,
24,,"Anthony Merced","2022-05-17 14:36:56",1,0,"About 4 to 5 weeks I can't add my numbers then u have to wait if I'm lucky",no,en_US,,,,,
25,,"Josephine Young","2022-05-19 08:40:30",1,1,"Faulty app",no,en_US,,,,,
26,,"Margo Frazier","2022-05-22 12:50:12",5,0,"Love the accountability",no,en_US,,,,,
27,,"Jon Cordoba","2022-05-30 18:12:28",3,0,"Bluetooth with the one drop glucometer kit works sporadically. Lots more advertising since when I first uploaded this app.",no,en_US,,,,,
28,,"Alfredo Villarreal III","2022-06-05 13:18:33",3,0,"Edit: had to select ""email"" instead of ""google"" to sign in with my Google email. Started off as a good experience. Then app stopped working. Had to uninstall, then reinstall for it to open. Now it won't let me sign in. I select ""already have account"" select my Google account that is the correct email, and it says it is ""already taken"" as if I'm trying to sign up and not login in.",no,en_US,,,,,
29,,"Ron Lovich","2022-06-11 22:25:10",1,0,"Won't let me log in.",no,en_US,,,,,
30,,"James Rieckens","2022-06-13 20:10:40",3,1,"Reports are too small to read on a phone and not easy to send to my computer.",no,en_US,,,,,
31,,"Bruce Franz","2022-06-21 18:29:29",2,0,"Would like to know more before I have to sign up, so rating is there just because I have to pick one before it will let me post",no,en_US,,,,,
32,,"Richie “Rich684” Nomura","2022-06-24 19:08:19",2,1,"App won't boot up, error message says app keeps stopping..",no,en_US,,,,,
33,,"Cliff Sees","2022-06-25 01:37:28",3,1,"I agree with Peggy Hamburg. It just will not open sometimes. It's a bloody hassle to have to uninstall then reinstall the program. Great app, when I can use it.",no,en_US,,,,,
34,,"John Ciarlante","2022-06-25 12:16:40",5,0,"Very easy to use and track progress.",no,en_US,,,,,
35,,"Joe Pipitone","2022-06-26 23:17:57",5,0,"Excellent alternative to fighting insurance for refills!",no,en_US,,,,,
36,,"Juanita Lira","2022-07-02 10:30:46",5,12,"Good app to track your glucose. Love it! It is userfriendly and gives you the right information, all in the same place. Thanks for thinking making this app such a good source. Lately it has been crashing frequently.",no,en_US,,,,,
37,,"Jeff Squires","2022-07-17 22:47:37",1,1,"Completely unusable. Just bought a new device and trying to pair it and the app just does nothing but crash continually I can't even get to the part where it tries to pair. Sending this turd back to Amazon",no,en_US,,,,,
38,,"adam swauger","2022-07-25 14:45:03",4,0,"Had to update my review cause even with the issues I'm having and getting upset and frustrated with my app not working, the support team is goin out of there way to help...will update to 5 stars once everything works together",no,en_US,,,,,
